USPS,FIPS,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                    
TX,48135,1383853,Ector County,2324999033,10597635,897.687,4.092,31.865301,-102.542507
TX,48137,1383854,Edwards County,5485225839,5199824,2117.858,2.008,29.985877,-100.307373
TX,48139,1383856,Ellis County,2422900216,42114894,935.487,16.261,32.347279,-96.798336
TX,48141,1383855,El Paso County,2622862905,5871209,1012.693,2.267,31.766403,-106.24139
TX,48143,1383857,Erath County,2805141510,17445041,1083.071,6.736,32.238136,-98.222377
TX,48145,1383858,Falls County,1982590781,21648086,765.483,8.358,31.25193,-96.934127
TX,48147,1383859,Fannin County,2307256396,20841602,890.837,8.047,33.591161,-96.104988
TX,48149,1383860,Fayette County,2460509670,25381852,950.008,9.8,29.877886,-96.921231
TX,48151,1383861,Fisher County,2328245716,7284133,898.941,2.812,32.740473,-100.40312
TX,48153,1383862,Floyd County,2569637321,983740,992.143,0.38,34.07373,-101.303274
TX,48155,1383863,Foard County,1824378528,8514811,704.397,3.288,33.980404,-99.777427
TX,48157,1383864,Fort Bend County,2231225129,61796736,861.481,23.86,29.526602,-95.771015
TX,48159,1383865,Franklin County,736568975,26876088,284.391,10.377,33.175846,-95.219066
TX,48161,1383866,Freestone County,2273333089,36915821,877.739,14.253,31.701654,-96.144237
TX,48163,1383867,Frio County,2935750557,2193798,1133.5,0.847,28.869334,-99.108788
TX,48165,1383868,Gaines County,3891133239,1262945,1502.375,0.488,32.743942,-102.631561
TX,48167,1383869,Galveston County,979943275,1283210753,378.358,495.45,29.228706,-94.894865
TX,48169,1383870,Garza County,2313926862,7219081,893.412,2.787,33.183792,-101.301134
TX,48171,1383871,Gillespie County,2740760701,8978625,1058.214,3.467,30.32639,-98.942106
TX,48173,1383872,Glasscock County,2331553028,2245419,900.218,0.867,31.868591,-101.528971
TX,48175,1383873,Goliad County,2206706631,19049578,852.014,7.355,28.6607,-97.430415
TX,48177,1383874,Gonzales County,2762708316,8200952,1066.688,3.166,29.468704,-97.477738
TX,48179,1383875,Gray County,2398261524,8700871,925.974,3.359,35.402542,-100.812374
TX,48181,1383876,Grayson County,2415950507,120105690,932.804,46.373,33.624508,-96.675699
TX,48183,1383877,Gregg County,707850624,6372935,273.303,2.461,32.486397,-94.816276
TX,48185,1383878,Grimes County,2039510046,36633143,787.459,14.144,30.543231,-95.988082
TX,48187,1383879,Guadalupe County,1842257555,9104439,711.3,3.515,29.583208,-97.949027
TX,48189,1383880,Hale County,2602115719,246684,1004.683,0.095,34.068436,-101.822888
TX,48191,1383881,Hall County,2288233552,53366406,883.492,20.605,34.453189,-100.576343
TX,48193,1383882,Hamilton County,2165007849,1238631,835.914,0.478,31.706982,-98.111794
TX,48195,1383883,Hansford County,2382296710,1548341,919.81,0.598,36.272847,-101.35693
TX,48197,1383884,Hardeman County,1800337037,4549262,695.114,1.756,34.289904,-99.745697
TX,48199,1383885,Hardin County,2306558884,18091499,890.567,6.985,30.329612,-94.393149
TX,48201,1383886,Harris County,4411986582,191671993,1703.478,74.005,29.857273,-95.393037
TX,48203,1383887,Harrison County,2330861809,40928811,899.951,15.803,32.547993,-94.374425
TX,48205,1383888,Hartley County,3786647934,3024145,1462.033,1.168,35.840244,-102.610047
TX,48207,1383889,Haskell County,2339099141,18471286,903.131,7.132,33.175965,-99.730773
TX,48209,1383890,Hays County,1755954943,5037790,677.978,1.945,30.061225,-98.029267
TX,48211,1383891,Hemphill County,2347270276,15205614,906.286,5.871,35.816237,-100.284807
TX,48213,1383892,Henderson County,2262997188,193170040,873.748,74.583,32.211633,-95.853418
TX,48215,1383893,Hidalgo County,4068521768,31191087,1570.865,12.043,26.396384,-98.18099
TX,48217,1383894,Hill County,2483445279,69557248,958.864,26.856,31.98224,-97.129886
TX,48219,1383895,Hockley County,2352723875,446121,908.392,0.172,33.605932,-102.343398
TX,48221,1383896,Hood County,1089456081,41924572,420.641,16.187,32.430149,-97.831677
TX,48223,1383897,Hopkins County,1986971988,66297428,767.174,25.598,33.148959,-95.565194
TX,48225,1383898,Houston County,3188040155,14673927,1230.909,5.666,31.323036,-95.4216
TX,48227,1383899,Howard County,2333038341,8841951,900.791,3.414,32.303583,-101.43853
TX,48229,1383900,Hudspeth County,11838791961,2191046,4570.983,0.846,31.450868,-105.377549
TX,48231,1383901,Hunt County,2176414426,108014750,840.318,41.705,33.123438,-96.083807
TX,48233,1383902,Hutchinson County,2298404081,19511584,887.419,7.533,35.837047,-101.362746
TX,48235,1383903,Irion County,2723534675,176316,1051.563,0.068,31.303424,-100.981304
TX,48237,1383904,Jack County,2358603193,24512768,910.662,9.464,33.232277,-98.171902
TX,48239,1383905,Jackson County,2148225451,71061093,829.435,27.437,28.959802,-96.58908
TX,48241,1383906,Jasper County,2431597700,79907584,938.845,30.852,30.752932,-94.022294
TX,48243,1383907,Jeff Davis County,5865171164,206209,2264.555,0.08,30.617087,-104.18786
TX,48245,1383908,Jefferson County,2269593704,612154349,876.295,236.354,29.854,-94.149331
TX,48247,1383909,Jim Hogg County,2942584159,92564,1136.138,0.036,27.041212,-98.700127
TX,48249,1383910,Jim Wells County,2240251330,8739521,864.966,3.374,27.733516,-98.090814
TX,48251,1383911,Johnson County,1876943426,25308620,724.692,9.772,32.379511,-97.364823
TX,48253,1383912,Jones County,2404944484,22229321,928.554,8.583,32.743709,-99.87443
TX,48255,1383913,Karnes County,1936160430,15519492,747.556,5.992,28.907618,-97.860767
TX,48257,1383914,Kaufman County,2022000741,69829915,780.699,26.961,32.598944,-96.288378
TX,48259,1383915,Kendall County,1715745632,1496809,662.453,0.578,29.944524,-98.711094
TX,48261,1383916,Kenedy County,3777053964,1262537526,1458.329,487.468,26.890232,-97.591233
TX,48263,1383917,Kent County,2337481857,1065244,902.507,0.411,33.18478,-100.76972
TX,48265,1383918,Kerr County,2857580696,10250172,1103.318,3.958,30.053928,-99.351968
TX,48267,1383919,Kimble County,3240040898,493622,1250.987,0.191,30.479472,-99.746396
TX,48269,1383920,King County,2359146771,6398129,910.872,2.47,33.614159,-100.250548
TX,48271,1383921,Kinney County,3522525947,13125082,1360.055,5.068,29.347086,-100.4177
TX,48273,1383922,Kleberg County,2282577985,541040924,881.308,208.897,27.438735,-97.66062
TX,48275,1383923,Knox County,2203097010,12577629,850.621,4.856,33.616657,-99.747112
TX,48277,1383925,Lamar County,2349611989,67113408,907.19,25.913,33.667263,-95.570348
TX,48279,1383926,Lamb County,2631897591,3973761,1016.181,1.534,34.068861,-102.348018
TX,48281,1383927,Lampasas County,1846247052,2833441,712.84,1.094,31.196731,-98.240889
TX,48283,1383924,La Salle County,3850510690,19539281,1486.691,7.544,28.351098,-99.096774
TX,48285,1383928,Lavaca County,2511532178,1885412,969.708,0.728,29.382578,-96.923633
TX,48287,1383929,Lee County,1629142826,13168645,629.016,5.084,30.321105,-96.976365
TX,48289,1383930,Leon County,2779447286,19343049,1073.151,7.468,31.300493,-95.995622
